InvoiceDate,sum(Tokens)
2011-04-04,7766
2011-04-08,6296
2011-04-26,8609
2011-05-04,5312
2011-05-10,11655
2011-04-28,5304
2011-04-14,7209
2011-04-07,7006
2011-05-09,7871
2011-04-20,4584
2011-04-27,5881
2011-04-10,4348
2011-05-11,7664
2011-06-07,8755
2011-06-19,5325
2011-06-03,3780
2011-06-17,4460
2011-06-21,6946
2011-06-15,7949
2011-05-31,5762
2011-05-20,4945
2011-05-27,5232
2011-06-14,7384
2011-05-19,8793
2011-06-08,10540
2011-06-10,4832
2011-05-22,7119
2011-05-26,4304
2011-06-22,4717
2011-05-29,2890
2011-06-16,7088
2011-06-12,4976
2011-05-23,7298
2011-05-18,6179
2011-05-17,8673
2011-05-25,5896
2011-06-20,9402
2011-06-23,9107
2011-06-06,5681
2011-06-01,6606
2011-06-13,6830
2011-06-09,8466
2011-05-24,7863
2011-06-05,7122
2011-06-02,7145
2011-06-26,3292
2011-07-11,7060
2011-07-07,9052
2011-07-22,5960
2011-07-06,8209
2011-06-27,5457
2011-07-10,3723
2011-06-24,4764
2011-07-25,9022
2011-07-26,5738
2011-07-31,5944
2011-07-01,4624
2011-07-28,7271
2011-08-02,6354
2011-06-29,6238
2011-07-14,7983
2011-07-20,9385
2011-07-17,5838
2011-07-24,5214
2011-07-13,7492
2011-07-15,5215
2011-07-19,7643
2011-07-08,7270
2011-07-29,5225
2011-08-01,5525
2011-07-18,10126
2011-06-30,7438
2011-06-28,4691
2011-07-03,2805
2011-07-05,10051
2011-07-04,10010
2011-07-12,7601
2011-07-21,7167
2011-07-27,5602
2011-08-16,4648
2011-08-08,6863
2011-08-28,5552
2011-08-07,2457
2011-08-31,5821
2011-09-07,9830
2011-08-05,6663
2011-09-06,5371
2011-09-09,7452
2011-08-03,7209
2011-09-08,8262
2011-08-18,7050
2011-08-17,7716
2011-08-14,2576
2011-08-15,4261
2011-09-05,7466
2011-09-01,6504
2011-09-11,9600
2011-08-25,6096
2011-08-30,15004
2011-08-24,8683
2011-09-04,6304
2011-08-23,6693
2011-08-26,4218
2011-08-04,8385
2011-08-22,5843
2011-08-19,3733
2011-08-21,5087
2011-09-02,10881
2011-08-12,5248
2011-08-10,6351
2011-08-09,5226
2011-08-11,9160
2011-09-13,11236
2011-09-26,7297
2011-09-14,6410
2011-09-23,12328
2011-09-15,10190
2011-09-27,8880
2011-09-18,6092
2011-09-30,8768
2011-09-20,8048
2011-09-16,6751
2011-10-05,11521
2011-09-19,6646
2011-09-28,13474
2011-10-02,6799
2011-09-12,7972
2011-09-22,12859
2011-10-06,14893
2011-10-04,13012
2011-09-25,9553
2011-10-03,10798
2011-09-21,14474
2011-09-29,11593
2011-10-31,15825
2011-10-18,13572
2011-10-14,8530
2011-10-30,13893
2011-10-10,15302
2011-10-27,12034
2011-10-12,10259
2011-10-16,5913
2011-10-19,10926
2011-10-07,11387
2011-10-26,9163
2011-10-13,11034
2011-10-24,13850
2011-10-21,6702
2011-10-25,11747
2011-10-28,7659
2011-10-17,13800
2011-10-11,11611
2011-10-20,10960
2011-10-09,6173
2011-10-23,8182
2011-11-02,12267
2011-11-03,11317
2011-11-01,8461
2011-11-08,19152
2011-11-09,12742
2011-11-17,16894
2011-11-11,19270
2011-11-04,14083
2011-11-13,14385
2011-11-14,16836
2011-11-07,9892
2011-11-06,16312
2011-11-15,16080
2011-11-16,19710
2011-11-10,15277
2011-11-18,13537
2011-12-01,13543
2011-11-25,14476
2011-12-04,9672
2011-11-27,12088
2011-11-20,15754
2011-11-21,13883
2011-11-24,17672
2011-11-28,15481
2011-11-29,20241
2011-12-02,13463
2011-11-23,17045
2011-11-22,18462
2011-11-30,16082
2011-12-06,15837
2011-12-09,7670
2011-12-08,23272
2011-12-07,11521
2011-12-05,25103
